date,region,product_category,units_sold,revenue,discount_pct,customer_reviews
2025-11-01,India North,Electronics,42,46200,8,"Fast delivery and excellent product quality"
2025-11-02,India South,Fashion,37,28550,12,"Loved the fabric and quick support"
2025-11-03,India East,Furniture,18,36300,10,"Good design but delivery needs improvement"
2025-11-04,India West,Grocery,58,22620,5,"Fresh items and smooth checkout"
2025-11-05,India North,Fashion,44,33880,15,"Good value but size exchange was slow"
2025-11-06,India South,Electronics,31,37200,7,"Premium product and helpful support"
2025-11-07,India East,Grocery,64,24960,6,"Great freshness and fast delivery"
2025-11-08,India West,Furniture,22,44000,9,"Packaging was damaged but product was fine"
2025-11-09,India North,Grocery,70,27300,5,"Fresh quality and friendly service"
2025-11-10,India South,Furniture,21,40950,11,"Delivery delay affected the experience"
2025-11-11,India East,Electronics,34,40120,8,"Excellent battery and good discount"
2025-11-12,India West,Fashion,48,35040,13,"Loved the style and smooth return"
2025-11-13,India North,Electronics,46,51520,6,"Excellent product and fast installation"
2025-11-14,India South,Grocery,68,26520,4,"Good freshness and quick delivery"
2025-11-15,India East,Fashion,41,30340,14,"Nice fabric but delivery was late"
2025-11-16,India West,Furniture,25,51250,8,"Premium finish and helpful support"
2025-11-17,India North,Furniture,24,50400,10,"Good quality but packaging issue"
2025-11-18,India South,Electronics,38,46360,7,"Smooth setup and excellent service"
2025-11-19,India East,Grocery,66,25740,5,"Fresh items and good value"
2025-11-20,India West,Fashion,52,39000,12,"Great fit and fast delivery"
2025-12-01,India North,Electronics,50,58000,7,"Excellent product quality and quick support"
2025-12-02,India South,Fashion,43,33540,11,"Loved the fabric and premium finish"
2025-12-03,India East,Furniture,29,60900,9,"Good design and smooth delivery"
2025-12-04,India West,Grocery,76,30400,4,"Fresh quality and fast checkout"
2025-12-05,India North,Fashion,49,38220,13,"Good style but exchange was slow"
2025-12-06,India South,Electronics,41,51660,6,"Excellent device and helpful support"
2025-12-07,India East,Grocery,73,29200,5,"Great freshness and good value"
2025-12-08,India West,Furniture,31,65100,8,"Premium furniture but delivery delay"
2026-01-05,India North,Electronics,54,63720,5,"Excellent performance and fast delivery"
2026-01-06,India South,Fashion,47,37130,10,"Loved the style and easy exchange"
2026-01-07,India East,Furniture,28,59640,8,"Good quality but packaging was damaged"
2026-01-08,India West,Grocery,82,33620,4,"Fresh items and quick delivery"
2026-02-05,India North,Fashion,53,42930,12,"Good value and helpful support"
2026-02-06,India South,Electronics,45,57600,6,"Excellent device and smooth setup"
2026-02-07,India East,Grocery,78,31980,5,"Fresh quality and friendly delivery"
2026-02-08,India West,Furniture,34,72420,7,"Premium finish and fast installation"
2026-03-05,India North,Furniture,32,69600,8,"Good quality but delivery was late"
2026-03-06,India South,Electronics,48,62880,5,"Excellent quality and quick support"
2026-03-07,India East,Fashion,51,39780,11,"Loved fabric but stock availability issue"
2026-03-08,India West,Grocery,86,36120,4,"Fresh items and great value"
